product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0,102.35,2025-08-06,14,3.5,FALSE,N/A
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0,114.35,2025-08-06,6,1.2,FALSE,N/A
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0,78.86,2025-08-06,22,4.3,FALSE,N/A
FB000048,Accessories,Ann Taylor,Winter,OS,Green,44.6,53.9,20.56,2025-08-06,42,2.4,FALSE,N/A
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0,105.02,2025-08-06,10,0,FALSE,N/A
FB000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,136.32,2025-08-06,15,4,FALSE,N/A
FB000067,Accessories,Ann Taylor,Summer,OS,Green,55.57,0,55.57,2025-08-06,44,3.8,FALSE,N/A
FB000082,Tops,Ann Taylor,Fall,M,White,113.17,19.1,91.55,2025-08-06,15,4.9,FALSE,N/A
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,2025-03-24,14,0,FALSE,N/A
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,2025-08-06,37,0,FALSE,N/A
FB000083,Dresses,Ann Taylor,Winter,S,Blue,174.13,0,174.13,2025-08-06,34,3.7,FALSE,N/A
FB000098,Bottoms,Ann Taylor,Summer,XXL,Navy,57.85,0,57.85,2025-08-06,36,3.5,FALSE,N/A
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0,37.51,2025-01-04,43,0,FALSE,N/A
FB000127,Shoes,Ann Taylor,Spring,XXL,Blue,81.64,0,81.64,2024-12-06,50,1.1,FALSE,N/A
FB000128,Shoes,Ann Taylor,Spring,XXL,White,125.24,21.5,98.31,2024-09-06,7,2.9,FALSE,N/A
FB000129,Outerwear,Ann Taylor,Spring,XS,Pink,98.61,0,98.61,2025-03-05,1,2.6,FALSE,N/A
FB000134,Accessories,Ann Taylor,Winter,OS,Blue,57.8,27,42.19,2025-08-06,9,1.8,FALSE,N/A
FB000149,Tops,Ann Taylor,Summer,M,Beige,68.11,46,36.78,2025-08-06,3,2.5,FALSE,N/A
FB000151,Tops,Ann Taylor,Winter,XL,Gray,94.97,0,94.97,2025-08-06,46,4.3,FALSE,N/A
FB000168,Accessories,Ann Taylor,Summer,OS,Gray,69.71,18,57.16,2025-08-06,34,4.2,TRUE,Color Mismatch
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,2025-08-06,42,0,FALSE,N/A
